original_name,qs_canonical_name,similarity_score
Illinos State University,Illinois State University,96.2962962962963
University Central London,Imperial College London,75.86206896551724
Indiana State University,Indiana State University,100.0
Indiana University SPEA,Indiana State University,80.0
Indiana Univ.-Bloomington,Indiana University Bloomington,97.43589743589743
University Of Indiana - Bloomington SPEA,Indiana University Bloomington,79.16666666666666
Indiana University - Bloomington (IUB) SPEA,Indiana University Bloomington,77.55102040816327
Indiana University - Indianapolis,Indiana UniversityPurdue University Indianapolis,85.71428571428572
"Indiana University, School Of Medicine, Indianapolis (IUPUI)",Indiana UniversityPurdue University Indianapolis,76.92307692307692
Iowa State Univ,Iowa State University,100.0
Istanbul Technical University,Istanbul Technical University,100.0
Johns Hopkins,Johns Hopkins University,100.0
SAIS John Hopkins University,Johns Hopkins University,86.66666666666667
Johns Hopkins University-SAIS,Johns Hopkins University,81.25
"Johns Hopkins University, Peabody Institute",Johns Hopkins University,76.47058823529412
"Peabody Institute, Johns Hopkins University",Johns Hopkins University,76.47058823529412
Leuven University,KU Leuven,80.0
Kansas State Univ,Kansas State University ,100.0
Kansas State University (KSU),Kansas State University ,85.71428571428572
Keele University,Keele University ,100.0
Kent Sate University,Kent State University,94.73684210526316
Penn State Univ,Kent State University,80.0
Minot State University,Kent State University,76.19047619047619
King Fahd University Of Petroleum And Minerals,King Fahd University of Petroleum & Minerals,93.93939393939394
"Kingston University, London","Kingston University, London",100.0
La Trobe University,La Trobe University,100.0
Lancaster University,Lancaster University,100.0
Lancaster University (UK),Lancaster University,85.71428571428572
Lehigh Univ.,Lehigh University,100.0
Leiden University,Leiden University,100.0
Lingnan University (hong Kong),"Lingnan University, Hong Kong",100.0
Linkoping University,Linköping University,88.88888888888889
Lousiana State University,Louisiana State University,96.55172413793103
Louisiana State University LSU,Louisiana State University,88.23529411764706
Lousiana Tech University,Louisiana State University,78.57142857142857
Louisiana State University At Monroe,Louisiana State University,75.0
Loyola Univ. Chicago,Loyola University Chicago,100.0
University Chicago Loyola,Loyola University Chicago,100.0
University Of Loyola-Chicago,Loyola University Chicago,83.87096774193549
Lund University,Lund University,100.0
Maastricht University,Maastricht University ,100.0
Marquette University,Marquette University,100.0
Massachusett Institute Of Technology,Massachusetts Institute of Technology (MIT) ,91.22807017543859
McGill,McGill University,100.0
McMster University,McMaster University,93.33333333333333
Memorial University Of Newfoundland,Memorial University of Newfoundland,100.0
Umiami,Miami University,90.9090909090909
Miami University OH,Miami University,76.92307692307692
"Michigan State University, Broad B. School",Michigan State University,77.77777777777779
Michigan Tech University (MTU),Michigan State University,77.41935483870968
Michigan State University (Eli Broad),Michigan State University,73.6842105263158
Michigan Technological Universiyu,Michigan Technological University,80.0
Michigan Tech Uni,Michigan Technological University,76.92307692307692
Michigan Technological University(Michigan Tech),Michigan Technological University,75.86206896551724
Middle East Technical University,Middle East Technical University,100.0
Middlesex University,Middlesex University,100.0
Mississippi State University,Mississippi State University,100.0
"Mississippi State University, Starkville,",Mississippi State University,75.55555555555556
Monash University,Monash University,100.0
Nanjing University,Nanjing University,100.0
Nankai Univ.,Nankai University,100.0
National Central UNiversity,National Central University,100.0
National Technical University Of Athens,National Technical University of Athens,100.0
National University Of Singapore,National University of Singapore (NUS),91.30434782608697
National University Of Singapore Lee Kuan Yew,National University of Singapore (NUS),77.96610169491525
NYU New York University,New York University (NYU),100.0
"The New School, New York",New York University (NYU),83.33333333333334
NYU (New York University) Poly,New York University (NYU),82.75862068965517
NYU Stern (New York University),New York University (NYU),80.0
Newcastle University,Newcastle University,100.0
North Carolina State Uni,North Carolina State University,90.9090909090909
North Carolina State Univesity,North Carolina State University,80.0
Noth Carolina Central University,North Carolina State University,78.04878048780488
"UVM, Northeastern",Northeastern University,85.71428571428572
Northeastern University School Of Law,Northeastern University,77.41935483870968
"Emerson College, Northeastern University",Northeastern University,75.0
Northeastern Univers,Northeastern University,75.0
Northern Arizona University,Northern Arizona University,100.0
Northern Ontario University,Northern Arizona University,81.25
Northern Arizona University Phoenix,Northern Arizona University,80.0
Northern Arizona Univeristy,Northern Arizona University,74.4186046511628
University Fo Northern,Northern Borders University,74.07407407407408
Northwestern Uni.,Northwestern University,85.71428571428572
Northwestern State University,Northwestern University,80.0
"Kellog, Northwestern University",Northwestern University,77.41935483870968
Medill Northwestern University,Northwestern University,77.41935483870968
"Medill Northwestern University,",Northwestern University,77.41935483870968
"Northwestern University, Ithaca College",Northwestern University,77.41935483870968
Northwestern University (Chicago),Northwestern University,75.0
Northwestern University Kellogg,Northwestern University,75.0
Western University,Northwestern University,73.6842105263158
Norwegian University Of Science And Technology,Norwegian University of Science And Technology,100.0
Nottingham-Trent University,Nottingham Trent University,93.75
Nova Southern University,Nova Southeastern University,86.66666666666667
Nova South Eastern University (online),Nova Southeastern University,80.95238095238095
Oklahoma State University,Oklahoma State University ,100.0
OregonState University,Oregon State University,95.65217391304348
Morgan State University,Oregon State University,83.33333333333334
Oxford Brookes University,Oxford Brookes University,100.0
Peking University,Peking University,100.0
Pennsyvania State University,Pennsylvania State University,97.14285714285714
The Pennsylvania State University(PSU-Park),Pennsylvania State University,80.0
Pennsylvania State Unveristy,Pennsylvania State University,78.26086956521739
